,Word,Number of Syllables,Formatted for JS,Syllables Separated by semicolon,1st Syllable,2nd Syllable,3rd Syllable,4th Syllable,5th Syllable,6th Syllable,7th Syllable,8th Syllable
,insanely,3,"'insanely': 3,",in;sane;ly,in,sane,ly,,,,,
,inscribed,2,"'inscribed': 2,",in;scribed,in,scribed,,,,,,
,inscription,3,"'inscription': 3,",in;scrip;tion,in,scrip,tion,,,,,
,insecurity,5,"'insecurity': 5,",in;se;cu;ri;ty,in,se,cu,ri,ty,,,
,insecure,3,"'insecure': 3,",in;se;cure,in,se,cure,,,,,
,insecticide,4,"'insecticide': 4,",in;sec;ti;cide,in,sec,ti,cide,,,,
,insect,2,"'insect': 2,",in;sect,in,sect,,,,,,
,insemination,5,"'insemination': 5,",in;sem;i;na;tion,in,sem,i,na,tion,,,
,insensitivity,6,"'insensitivity': 6,",in;sen;si;tiv;i;ty,in,sen,si,tiv,i,ty,,
,insensitive,4,"'insensitive': 4,",in;sen;si;tive,in,sen,si,tive,,,,
,inseparable,5,"'inseparable': 5,",in;sep;a;ra;ble,in,sep,a,ra,ble,,,
,insertion,3,"'insertion': 3,",in;ser;tion,in,ser,tion,,,,,
,insert,2,"'insert': 2,",in;sert,in,sert,,,,,,
,inserted,3,"'inserted': 3,",in;sert;ed,in,sert,ed,,,,,
,inset,2,"'inset': 2,",in;set,in,set,,,,,,
,inshore,2,"'inshore': 2,",in;shore,in,shore,,,,,,
,insider,3,"'insider': 3,",in;sid;er,in,sid,er,,,,,
,insidious,4,"'insidious': 4,",in;sid;i;ous,in,sid,i,ous,,,,
,inside,2,"'inside': 2,",in;side,in,side,,,,,,
,insides,2,"'insides': 2,",in;sides,in,sides,,,,,,
,insignia,4,"'insignia': 4,",in;sig;ni;a,in,sig,ni,a,,,,
,insignificant,5,"'insignificant': 5,",in;sig;nif;i;cant,in,sig,nif,i,cant,,,
,insight,2,"'insight': 2,",in;sight,in,sight,,,,,,
,insightful,3,"'insightful': 3,",in;sight;ful,in,sight,ful,,,,,
,insist,2,"'insist': 2,",in;sist,in,sist,,,,,,
,insistence,3,"'insistence': 3,",in;sist;ence,in,sist,ence,,,,,
,insistent,3,"'insistent': 3,",in;sist;ent,in,sist,ent,,,,,
,insofar,3,"'insofar': 3,",in;so;far,in,so,far,,,,,
,insoluble,4,"'insoluble': 4,",in;sol;u;ble,in,sol,u,ble,,,,
,insolvency,4,"'insolvency': 4,",in;sol;ven;cy,in,sol,ven,cy,,,,
,insolvent,3,"'insolvent': 3,",in;sol;vent,in,sol,vent,,,,,
,insole,2,"'insole': 2,",in;sole,in,sole,,,,,,
,insomnia,4,"'insomnia': 4,",in;som;ni;a,in,som,ni,a,,,,
,insomniac,4,"'insomniac': 4,",in;som;ni;ac,in,som,ni,ac,,,,
,inspection,3,"'inspection': 3,",in;spec;tion,in,spec,tion,,,,,
,inspector,3,"'inspector': 3,",in;spec;tor,in,spec,tor,,,,,
,inspectorate,4,"'inspectorate': 4,",in;spec;tor;ate,in,spec,tor,ate,,,,
,inspect,2,"'inspect': 2,",in;spect,in,spect,,,,,,
,inspiration,4,"'inspiration': 4,",in;spi;ra;tion,in,spi,ra,tion,,,,
,inspirational,5,"'inspirational': 5,",in;spi;ra;tion;al,in,spi,ra,tion,al,,,
,inspiring,3,"'inspiring': 3,",in;spir;ing,in,spir,ing,,,,,
,inspire,2,"'inspire': 2,",in;spire,in,spire,,,,,,
,inspired,2,"'inspired': 2,",in;spired,in,spired,,,,,,
,instability,5,"'instability': 5,",in;sta;bil;i;ty,in,sta,bil,i,ty,,,
,installation,4,"'installation': 4,",in;stal;la;tion,in,stal,la,tion,,,,
,installing,3,"'installing': 3,",in;stal;ling,in,stal,ling,,,,,
,instalment,3,"'instalment': 3,",in;stal;ment,in,stal,ment,,,,,
,install,2,"'install': 2,",in;stall,in,stall,,,,,,
,installer,3,"'installer': 3,",in;stall;er,in,stall,er,,,,,
,installment,3,"'installment': 3,",in;stall;ment,in,stall,ment,,,,,
,installed,2,"'installed': 2,",in;stalled,in,stalled,,,,,,
,instantaneous,5,"'instantaneous': 5,",in;stan;ta;ne;ous,in,stan,ta,ne,ous,,,
,instantaneously,6,"'instantaneously': 6,",in;stan;ta;ne;ous;ly,in,stan,ta,ne,ous,ly,,
,instantiate,4,"'instantiate': 4,",in;stan;ti;ate,in,stan,ti,ate,,,,
,instance,2,"'instance': 2,",in;stance,in,stance,,,,,,
,instant,2,"'instant': 2,",in;stant,in,stant,,,,,,
,instantly,3,"'instantly': 3,",in;stant;ly,in,stant,ly,,,,,
,instead,2,"'instead': 2,",in;stead,in,stead,,,,,,
,instep,2,"'instep': 2,",in;step,in,step,,,,,,
,instigated,4,"'instigated': 4,",in;sti;gat;ed,in,sti,gat,ed,,,,
,institution,4,"'institution': 4,",in;sti;tu;tion,in,sti,tu,tion,,,,
,institutional,5,"'institutional': 5,",in;sti;tu;tion;al,in,sti,tu,tion,al,,,
,institutionalization,8,"'institutionalization': 8,",in;sti;tu;tion;al;i;za;tion,in,sti,tu,tion,al,i,za,tion
,institutionalized,6,"'institutionalized': 6,",in;sti;tu;tion;al;ized,in,sti,tu,tion,al,ized,,
,instituted,4,"'instituted': 4,",in;sti;tut;ed,in,sti,tut,ed,,,,
,instituting,4,"'instituting': 4,",in;sti;tut;ing,in,sti,tut,ing,,,,
,institute,3,"'institute': 3,",in;sti;tute,in,sti,tute,,,,,
,institutes,3,"'institutes': 3,",in;sti;tutes,in,sti,tutes,,,,,
,instill,2,"'instill': 2,",in;still,in,still,,,,,,
,instilled,2,"'instilled': 2,",in;stilled,in,stilled,,,,,,
,instinctive,3,"'instinctive': 3,",in;stinc;tive,in,stinc,tive,,,,,
,instinctively,4,"'instinctively': 4,",in;stinc;tive;ly,in,stinc,tive,ly,,,,
,instinct,2,"'instinct': 2,",in;stinct,in,stinct,,,,,,
,instrumentation,5,"'instrumentation': 5,",in;stru;men;ta;tion,in,stru,men,ta,tion,,,
,instrumental,4,"'instrumental': 4,",in;stru;men;tal,in,stru,men,tal,,,,
,instrumentality,6,"'instrumentality': 6,",in;stru;men;tal;i;ty,in,stru,men,tal,i,ty,,
,instrument,3,"'instrument': 3,",in;stru;ment,in,stru,ment,,,,,
,instruction,3,"'instruction': 3,",in;struc;tion,in,struc,tion,,,,,
,instructional,4,"'instructional': 4,",in;struc;tion;al,in,struc,tion,al,,,,
,instructions,3,"'instructions': 3,",in;struc;tions,in,struc,tions,,,,,
,instructive,3,"'instructive': 3,",in;struc;tive,in,struc,tive,,,,,
,instructor,3,"'instructor': 3,",in;struc;tor,in,struc,tor,,,,,
,instruct,2,"'instruct': 2,",in;struct,in,struct,,,,,,
,insulation,4,"'insulation': 4,",in;su;la;tion,in,su,la,tion,,,,
,insulator,4,"'insulator': 4,",in;su;la;tor,in,su,la,tor,,,,
,insular,3,"'insular': 3,",in;su;lar,in,su,lar,,,,,
,insulated,4,"'insulated': 4,",in;su;lat;ed,in,su,lat,ed,,,,
,insulating,4,"'insulating': 4,",in;su;lat;ing,in,su,lat,ing,,,,
,insulate,3,"'insulate': 3,",in;su;late,in,su,late,,,,,
,insulin,3,"'insulin': 3,",in;su;lin,in,su,lin,,,,,
,insufficiency,5,"'insufficiency': 5,",in;suf;fi;cien;cy,in,suf,fi,cien,cy,,,
,insufficient,4,"'insufficient': 4,",in;suf;fi;cient,in,suf,fi,cient,,,,
,insufficiently,5,"'insufficiently': 5,",in;suf;fi;cient;ly,in,suf,fi,cient,ly,,,
,insult,2,"'insult': 2,",in;sult,in,sult,,,,,,
,insulting,3,"'insulting': 3,",in;sult;ing,in,sult,ing,,,,,
,insurer,3,"'insurer': 3,",in;sur;er,in,sur,er,,,,,
,insurgency,4,"'insurgency': 4,",in;sur;gen;cy,in,sur,gen,cy,,,,
,insurgent,3,"'insurgent': 3,",in;sur;gent,in,sur,gent,,,,,
,insuring,3,"'insuring': 3,",in;sur;ing,in,sur,ing,,,,,
,insurmountable,5,"'insurmountable': 5,",in;sur;mount;a;ble,in,sur,mount,a,ble,,,
,insurrection,4,"'insurrection': 4,",in;sur;rec;tion,in,sur,rec,tion,,,,
,insure,2,"'insure': 2,",in;sure,in,sure,,,,,,
,insured,2,"'insured': 2,",in;sured,in,sured,,,,,,
,intact,2,"'intact': 2,",in;tact,in,tact,,,,,,
,intake,2,"'intake': 2,",in;take,in,take,,,,,,
,intangible,4,"'intangible': 4,",in;tan;gi;ble,in,tan,gi,ble,,,,
,integer,3,"'integer': 3,",in;te;ger,in,te,ger,,,,,
,integrable,4,"'integrable': 4,",in;te;gra;ble,in,te,gra,ble,,,,
,integration,4,"'integration': 4,",in;te;gra;tion,in,te,gra,tion,,,,
,integrative,4,"'integrative': 4,",in;te;gra;tive,in,te,gra,tive,,,,
,integrator,4,"'integrator': 4,",in;te;gra;tor,in,te,gra,tor,,,,
,integral,3,"'integral': 3,",in;te;gral,in,te,gral,,,,,
,integrated,4,"'integrated': 4,",in;te;grat;ed,in,te,grat,ed,,,,
,integrating,4,"'integrating': 4,",in;te;grat;ing,in,te,grat,ing,,,,
,integrate,3,"'integrate': 3,",in;te;grate,in,te,grate,,,,,
,interior,4,"'interior': 4,",in;te;ri;or,in,te,ri,or,,,,
,integrity,4,"'integrity': 4,",in;teg;ri;ty,in,teg,ri,ty,,,,
,intellectual,5,"'intellectual': 5,",in;tel;lec;tu;al,in,tel,lec,tu,al,,,
,intellectually,6,"'intellectually': 6,",in;tel;lec;tu;al;ly,in,tel,lec,tu,al,ly,,
,intellect,3,"'intellect': 3,",in;tel;lect,in,tel,lect,,,,,
,intelligencer,5,"'intelligencer': 5,",in;tel;li;genc;er,in,tel,li,genc,er,,,
,intelligence,4,"'intelligence': 4,",in;tel;li;gence,in,tel,li,gence,,,,
,intelligent,4,"'intelligent': 4,",in;tel;li;gent,in,tel,li,gent,,,,
,intelligently,5,"'intelligently': 5,",in;tel;li;gent;ly,in,tel,li,gent,ly,,,
,intelligible,5,"'intelligible': 5,",in;tel;li;gi;ble,in,tel,li,gi,ble,,,
,intensification,6,"'intensification': 6,",in;ten;si;fi;ca;tion,in,ten,si,fi,ca,tion,,
,intensified,4,"'intensified': 4,",in;ten;si;fied,in,ten,si,fied,,,,
,intensify,4,"'intensify': 4,",in;ten;si;fy,in,ten,si,fy,,,,
,intensifying,5,"'intensifying': 5,",in;ten;si;fy;ing,in,ten,si,fy,ing,,,
,intensity,4,"'intensity': 4,",in;ten;si;ty,in,ten,si,ty,,,,
,intensive,3,"'intensive': 3,",in;ten;sive,in,ten,sive,,,,,
,intensively,4,"'intensively': 4,",in;ten;sive;ly,in,ten,sive,ly,,,,
,intention,3,"'intention': 3,",in;ten;tion,in,ten,tion,,,,,
,intentional,4,"'intentional': 4,",in;ten;tion;al,in,ten,tion,al,,,,
,intentionally,5,"'intentionally': 5,",in;ten;tion;al;ly,in,ten,tion,al,ly,,,
,intentioned,3,"'intentioned': 3,",in;ten;tioned,in,ten,tioned,,,,,
,intend,2,"'intend': 2,",in;tend,in,tend,,,,,,
,intended,3,"'intended': 3,",in;tend;ed,in,tend,ed,,,,,
,intense,2,"'intense': 2,",in;tense,in,tense,,,,,,
,intensely,3,"'intensely': 3,",in;tense;ly,in,tense,ly,,,,,
,intent,2,"'intent': 2,",in;tent,in,tent,,,,,,
,intently,3,"'intently': 3,",in;tent;ly,in,tent,ly,,,,,
,interagency,5,"'interagency': 5,",in;ter;a;gen;cy,in,ter,a,gen,cy,,,
,interaction,4,"'interaction': 4,",in;ter;ac;tion,in,ter,ac,tion,,,,
,interactive,4,"'interactive': 4,",in;ter;ac;tive,in,ter,ac,tive,,,,
,interact,3,"'interact': 3,",in;ter;act,in,ter,act,,,,,
,interbank,3,"'interbank': 3,",in;ter;bank,in,ter,bank,,,,,
,interception,4,"'interception': 4,",in;ter;cep;tion,in,ter,cep,tion,,,,
,interceptor,4,"'interceptor': 4,",in;ter;cep;tor,in,ter,cep,tor,,,,
,intercept,3,"'intercept': 3,",in;ter;cept,in,ter,cept,,,,,
,intercession,4,"'intercession': 4,",in;ter;ces;sion,in,ter,ces,sion,,,,
,interchange,3,"'interchange': 3,",in;ter;change,in,ter,change,,,,,
,interchangeable,5,"'interchangeable': 5,",in;ter;change;a;ble,in,ter,change,a,ble,,,
,interchangeably,5,"'interchangeably': 5,",in;ter;change;a;bly,in,ter,change,a,bly,,,
,intercity,4,"'intercity': 4,",in;ter;cit;y,in,ter,cit,y,,,,
,intercollegiate,5,"'intercollegiate': 5,",in;ter;col;le;giate,in,ter,col,le,giate,,,
,intercom,3,"'intercom': 3,",in;ter;com,in,ter,com,,,,,
,interconnection,5,"'interconnection': 5,",in;ter;con;nec;tion,in,ter,con,nec,tion,,,
,intercontinental,6,"'intercontinental': 6,",in;ter;con;ti;nen;tal,in,ter,con,ti,nen,tal,,
,intercooler,4,"'intercooler': 4,",in;ter;cool;er,in,ter,cool,er,,,,
,intercourse,3,"'intercourse': 3,",in;ter;course,in,ter,course,,,,,
,interdepartmental,6,"'interdepartmental': 6,",in;ter;de;part;men;tal,in,ter,de,part,men,tal,,
,interdependence,5,"'interdependence': 5,",in;ter;de;pend;ence,in,ter,de,pend,ence,,,
,interdependent,5,"'interdependent': 5,",in;ter;de;pend;ent,in,ter,de,pend,ent,,,
,interdiction,4,"'interdiction': 4,",in;ter;dic;tion,in,ter,dic,tion,,,,
,interdisciplinary,7,"'interdisciplinary': 7,",in;ter;dis;ci;pli;nar;y,in,ter,dis,ci,pli,nar,y,
,interest,3,"'interest': 3,",in;ter;est,in,ter,est,,,,,
,interested,4,"'interested': 4,",in;ter;est;ed,in,ter,est,ed,,,,
,interesting,4,"'interesting': 4,",in;ter;est;ing,in,ter,est,ing,,,,
,interestingly,5,"'interestingly': 5,",in;ter;est;ing;ly,in,ter,est,ing,ly,,,
,interfacial,4,"'interfacial': 4,",in;ter;fa;cial,in,ter,fa,cial,,,,
,interfacing,4,"'interfacing': 4,",in;ter;fac;ing,in,ter,fac,ing,,,,
,interface,3,"'interface': 3,",in;ter;face,in,ter,face,,,,,
,interfaith,3,"'interfaith': 3,",in;ter;faith,in,ter,faith,,,,,
,interference,4,"'interference': 4,",in;ter;fer;ence,in,ter,fer,ence,,,,
,interfering,4,"'interfering': 4,",in;ter;fer;ing,in,ter,fer,ing,,,,
,interferometer,6,"'interferometer': 6,",in;ter;fer;om;e;ter,in,ter,fer,om,e,ter,,
,interferometry,6,"'interferometry': 6,",in;ter;fer;om;e;try,in,ter,fer,om,e,try,,
,interferon,4,"'interferon': 4,",in;ter;fer;on,in,ter,fer,on,,,,
,interfere,3,"'interfere': 3,",in;ter;fere,in,ter,fere,,,,,
,interfered,3,"'interfered': 3,",in;ter;fered,in,ter,fered,,,,,
,intergalactic,5,"'intergalactic': 5,",in;ter;ga;lac;tic,in,ter,ga,lac,tic,,,
,intergovernmental,6,"'intergovernmental': 6,",in;ter;gov;ern;men;tal,in,ter,gov,ern,men,tal,,
,interim,3,"'interim': 3,",in;ter;im,in,ter,im,,,,,
,interlaced,3,"'interlaced': 3,",in;ter;laced,in,ter,laced,,,,,
,interleaved,3,"'interleaved': 3,",in;ter;leaved,in,ter,leaved,,,,,
,interlibrary,5,"'interlibrary': 5,",in;ter;li;brar;y,in,ter,li,brar,y,,,
,interlink,3,"'interlink': 3,",in;ter;link,in,ter,link,,,,,
,interlock,3,"'interlock': 3,",in;ter;lock,in,ter,lock,,,,,
,interlude,3,"'interlude': 3,",in;ter;lude,in,ter,lude,,,,,
,intermediation,6,"'intermediation': 6,",in;ter;me;di;a;tion,in,ter,me,di,a,tion,,
,intermediaries,6,"'intermediaries': 6,",in;ter;me;di;ar;ies,in,ter,me,di,ar,ies,,
,intermediary,6,"'intermediary': 6,",in;ter;me;di;ar;y,in,ter,me,di,ar,y,,
,intermediate,5,"'intermediate': 5,",in;ter;me;di;ate,in,ter,me,di,ate,,,
,interment,3,"'interment': 3,",in;ter;ment,in,ter,ment,,,,,
,intermission,4,"'intermission': 4,",in;ter;mis;sion,in,ter,mis,sion,,,,
,intermittent,4,"'intermittent': 4,",in;ter;mit;tent,in,ter,mit,tent,,,,
,intermittently,5,"'intermittently': 5,",in;ter;mit;tent;ly,in,ter,mit,tent,ly,,,
,intermountain,4,"'intermountain': 4,",in;ter;moun;tain,in,ter,moun,tain,,,,
,internation,4,"'internation': 4,",in;ter;na;tion,in,ter,na,tion,,,,
,international,5,"'international': 5,",in;ter;na;tion;al,in,ter,na,tion,al,,,
,internationalization,8,"'internationalization': 8,",in;ter;na;tion;al;i;za;tion,in,ter,na,tion,al,i,za,tion
,internationally,6,"'internationally': 6,",in;ter;na;tion;al;ly,in,ter,na,tion,al,ly,,
,internal,3,"'internal': 3,",in;ter;nal,in,ter,nal,,,,,
,internally,4,"'internally': 4,",in;ter;nal;ly,in,ter,nal,ly,,,,
,interpersonal,5,"'interpersonal': 5,",in;ter;per;son;al,in,ter,per,son,al,,,
,interphase,3,"'interphase': 3,",in;ter;phase,in,ter,phase,,,,,
,interplanetary,6,"'interplanetary': 6,",in;ter;plan;e;tar;y,in,ter,plan,e,tar,y,,
,interplay,3,"'interplay': 3,",in;ter;play,in,ter,play,,,,,
,interpolation,5,"'interpolation': 5,",in;ter;po;la;tion,in,ter,po,la,tion,,,
,interpolated,5,"'interpolated': 5,",in;ter;po;lat;ed,in,ter,po,lat,ed,,,
,interpretation,5,"'interpretation': 5,",in;ter;pre;ta;tion,in,ter,pre,ta,tion,,,
,interpretative,5,"'interpretative': 5,",in;ter;pre;ta;tive,in,ter,pre,ta,tive,,,
,interpretive,4,"'interpretive': 4,",in;ter;pre;tive,in,ter,pre,tive,,,,
,interpret,3,"'interpret': 3,",in;ter;pret,in,ter,pret,,,,,
,interpreter,4,"'interpreter': 4,",in;ter;pret;er,in,ter,pret,er,,,,
,interracial,4,"'interracial': 4,",in;ter;ra;cial,in,ter,ra,cial,,,,
,interrelated,5,"'interrelated': 5,",in;ter;re;lat;ed,in,ter,re,lat,ed,,,
,interrogation,5,"'interrogation': 5,",in;ter;ro;ga;tion,in,ter,ro,ga,tion,,,
,interrogated,5,"'interrogated': 5,",in;ter;ro;gat;ed,in,ter,ro,gat,ed,,,
,interrogate,4,"'interrogate': 4,",in;ter;ro;gate,in,ter,ro,gate,,,,
,interrogatories,6,"'interrogatories': 6,",in;ter;rog;a;to;ries,in,ter,rog,a,to,ries,,
,interruption,4,"'interruption': 4,",in;ter;rup;tion,in,ter,rup,tion,,,,
,interrupt,3,"'interrupt': 3,",in;ter;rupt,in,ter,rupt,,,,,
,interrupted,4,"'interrupted': 4,",in;ter;rupt;ed,in,ter,rupt,ed,,,,
,interscience,4,"'interscience': 4,",in;ter;sci;ence,in,ter,sci,ence,,,,
,intersection,4,"'intersection': 4,",in;ter;sec;tion,in,ter,sec,tion,,,,
,intersect,3,"'intersect': 3,",in;ter;sect,in,ter,sect,,,,,
,interspersed,3,"'interspersed': 3,",in;ter;spersed,in,ter,spersed,,,,,
,interstate,3,"'interstate': 3,",in;ter;state,in,ter,state,,,,,
,interstellar,4,"'interstellar': 4,",in;ter;stel;lar,in,ter,stel,lar,,,,
,interstitial,4,"'interstitial': 4,",in;ter;sti;tial,in,ter,sti,tial,,,,
,intertidal,4,"'intertidal': 4,",in;ter;tid;al,in,ter,tid,al,,,,
,intertwined,3,"'intertwined': 3,",in;ter;twined,in,ter,twined,,,,,
,interval,3,"'interval': 3,",in;ter;val,in,ter,val,,,,,
,intervening,4,"'intervening': 4,",in;ter;ven;ing,in,ter,ven,ing,,,,
,intervention,4,"'intervention': 4,",in;ter;ven;tion,in,ter,ven,tion,,,,
,interventional,5,"'interventional': 5,",in;ter;ven;tion;al,in,ter,ven,tion,al,,,
,intervene,3,"'intervene': 3,",in;ter;vene,in,ter,vene,,,,,
,intervened,3,"'intervened': 3,",in;ter;vened,in,ter,vened,,,,,
,interview,3,"'interview': 3,",in;ter;view,in,ter,view,,,,,
,interviewee,4,"'interviewee': 4,",in;ter;view;ee,in,ter,view,ee,,,,
,interviewer,4,"'interviewer': 4,",in;ter;view;er,in,ter,view,er,,,,
,interwoven,4,"'interwoven': 4,",in;ter;wo;ven,in,ter,wo,ven,,,,
,interworking,4,"'interworking': 4,",in;ter;work;ing,in,ter,work,ing,,,,
,intern,2,"'intern': 2,",in;tern,in,tern,,,,,,
,internment,3,"'internment': 3,",in;tern;ment,in,tern,ment,,,,,
,internship,3,"'internship': 3,",in;tern;ship,in,tern,ship,,,,,
,interne,2,"'interne': 2,",in;terne,in,terne,,,,,,
,intestinal,4,"'intestinal': 4,",in;tes;ti;nal,in,tes,ti,nal,,,,
,intestine,3,"'intestine': 3,",in;tes;tine,in,tes,tine,,,,,
,intimacy,4,"'intimacy': 4,",in;ti;ma;cy,in,ti,ma,cy,,,,
,intimate,3,"'intimate': 3,",in;ti;mate,in,ti,mate,,,,,
,intimately,4,"'intimately': 4,",in;ti;mate;ly,in,ti,mate,ly,,,,
,intitle,3,"'intitle': 3,",in;ti;tle,in,ti,tle,,,,,
,intimidation,5,"'intimidation': 5,",in;tim;i;da;tion,in,tim,i,da,tion,,,
,intimidated,5,"'intimidated': 5,",in;tim;i;dat;ed,in,tim,i,dat,ed,,,
,intimidating,5,"'intimidating': 5,",in;tim;i;dat;ing,in,tim,i,dat,ing,,,
,intimidate,4,"'intimidate': 4,",in;tim;i;date,in,tim,i,date,,,,
,into,2,"'into': 2,",in;to,in,to,,,,,,
,intonation,4,"'intonation': 4,",in;to;na;tion,in,to,na,tion,,,,
,intolerable,5,"'intolerable': 5,",in;tol;er;a;ble,in,tol,er,a,ble,,,
,intolerance,4,"'intolerance': 4,",in;tol;er;ance,in,tol,er,ance,,,,
,intolerant,4,"'intolerant': 4,",in;tol;er;ant,in,tol,er,ant,,,,
,intoxication,5,"'intoxication': 5,",in;tox;i;ca;tion,in,tox,i,ca,tion,,,
,intoxicated,5,"'intoxicated': 5,",in;tox;i;cat;ed,in,tox,i,cat,ed,,,
,intoxicating,5,"'intoxicating': 5,",in;tox;i;cat;ing,in,tox,i,cat,ing,,,
,intracellular,5,"'intracellular': 5,",in;tra;cel;lu;lar,in,tra,cel,lu,lar,,,
,intracranial,5,"'intracranial': 5,",in;tra;cra;ni;al,in,tra,cra,ni,al,,,
,intramural,4,"'intramural': 4,",in;tra;mu;ral,in,tra,mu,ral,,,,
,intramuscular,5,"'intramuscular': 5,",in;tra;mus;cu;lar,in,tra,mus,cu,lar,,,
,intrastate,3,"'intrastate': 3,",in;tra;state,in,tra,state,,,,,
,intrauterine,5,"'intrauterine': 5,",in;tra;u;ter;ine,in,tra,u,ter,ine,,,
,intravenous,4,"'intravenous': 4,",in;tra;ve;nous,in,tra,ve,nous,,,,
,intractable,4,"'intractable': 4,",in;trac;ta;ble,in,trac,ta,ble,,,,
,intrepid,3,"'intrepid': 3,",in;trep;id,in,trep,id,,,,,
,intricate,3,"'intricate': 3,",in;tri;cate,in,tri,cate,,,,,
,intricately,4,"'intricately': 4,",in;tri;cate;ly,in,tri,cate,ly,,,,
,intriguing,3,"'intriguing': 3,",in;tri;guing,in,tri,guing,,,,,
,intrigue,2,"'intrigue': 2,",in;trigue,in,trigue,,,,,,
,intrigued,2,"'intrigued': 2,",in;trigued,in,trigued,,,,,,
,intrinsically,5,"'intrinsically': 5,",in;trin;si;cal;ly,in,trin,si,cal,ly,,,
,intrinsic,3,"'intrinsic': 3,",in;trin;sic,in,trin,sic,,,,,
,introducing,4,"'introducing': 4,",in;tro;duc;ing,in,tro,duc,ing,,,,
,introduction,4,"'introduction': 4,",in;tro;duc;tion,in,tro,duc,tion,,,,
,introductory,5,"'introductory': 5,",in;tro;duc;to;ry,in,tro,duc,to,ry,,,
,introduce,3,"'introduce': 3,",in;tro;duce,in,tro,duce,,,,,
,introduced,3,"'introduced': 3,",in;tro;duced,in,tro,duced,,,,,
,introspection,4,"'introspection': 4,",in;tro;spec;tion,in,tro,spec,tion,,,,
,introspective,4,"'introspective': 4,",in;tro;spec;tive,in,tro,spec,tive,,,,
,intrusion,3,"'intrusion': 3,",in;tru;sion,in,tru,sion,,,,,
,intrusive,3,"'intrusive': 3,",in;tru;sive,in,tru,sive,,,,,
,intruder,3,"'intruder': 3,",in;trud;er,in,trud,er,,,,,
,intrude,2,"'intrude': 2,",in;trude,in,trude,,,,,,
,intubation,4,"'intubation': 4,",in;tu;ba;tion,in,tu,ba,tion,,,,
,intuition,4,"'intuition': 4,",in;tu;i;tion,in,tu,i,tion,,,,
,intuitive,4,"'intuitive': 4,",in;tu;i;tive,in,tu,i,tive,,,,
,intuitively,5,"'intuitively': 5,",in;tu;i;tive;ly,in,tu,i,tive,ly,,,
,intuit,3,"'intuit': 3,",in;tu;it,in,tu,it,,,,,
,inundated,4,"'inundated': 4,",in;un;dat;ed,in,un,dat,ed,,,,
,invalidity,5,"'invalidity': 5,",in;va;lid;i;ty,in,va,lid,i,ty,,,
,invasion,3,"'invasion': 3,",in;va;sion,in,va,sion,,,,,
,invasive,3,"'invasive': 3,",in;va;sive,in,va,sive,,,,,
,invaded,3,"'invaded': 3,",in;vad;ed,in,vad,ed,,,,,
,invader,3,"'invader': 3,",in;vad;er,in,vad,er,,,,,
,invading,3,"'invading': 3,",in;vad;ing,in,vad,ing,,,,,
,invade,2,"'invade': 2,",in;vade,in,vade,,,,,,
,invalidated,5,"'invalidated': 5,",in;val;i;dat;ed,in,val,i,dat,ed,,,
,invalidate,4,"'invalidate': 4,",in;val;i;date,in,val,i,date,,,,
,invalid,3,"'invalid': 3,",in;val;id,in,val,id,,,,,
,invaluable,5,"'invaluable': 5,",in;val;u;a;ble,in,val,u,a,ble,,,
,invariably,5,"'invariably': 5,",in;var;i;a;bly,in,var,i,a,bly,,,
,invariant,4,"'invariant': 4,",in;var;i;ant,in,var,i,ant,,,,
,invention,3,"'invention': 3,",in;ven;tion,in,ven,tion,,,,,
,inventive,3,"'inventive': 3,",in;ven;tive,in,ven,tive,,,,,
,inventories,4,"'inventories': 4,",in;ven;to;ries,in,ven,to,ries,,,,
,inventory,4,"'inventory': 4,",in;ven;to;ry,in,ven,to,ry,,,,
,inventor,3,"'inventor': 3,",in;ven;tor,in,ven,tor,,,,,
,invent,2,"'invent': 2,",in;vent,in,vent,,,,,,
,inversion,3,"'inversion': 3,",in;ver;sion,in,ver,sion,,,,,
,invertebrate,4,"'invertebrate': 4,",in;ver;te;brate,in,ver,te,brate,,,,
,inverse,2,"'inverse': 2,",in;verse,in,verse,,,,,,
,inversely,3,"'inversely': 3,",in;verse;ly,in,verse,ly,,,,,
,invert,2,"'invert': 2,",in;vert,in,vert,,,,,,
,inverter,3,"'inverter': 3,",in;vert;er,in,vert,er,,,,,
,investigation,5,"'investigation': 5,",in;ves;ti;ga;tion,in,ves,ti,ga,tion,,,
,investigational,6,"'investigational': 6,",in;ves;ti;ga;tion;al,in,ves,ti,ga,tion,al,,
,investigative,5,"'investigative': 5,",in;ves;ti;ga;tive,in,ves,ti,ga,tive,,,
,investigator,5,"'investigator': 5,",in;ves;ti;ga;tor,in,ves,ti,ga,tor,,,
,investigated,5,"'investigated': 5,",in;ves;ti;gat;ed,in,ves,ti,gat,ed,,,
,investigating,5,"'investigating': 5,",in;ves;ti;gat;ing,in,ves,ti,gat,ing,,,
,investigate,4,"'investigate': 4,",in;ves;ti;gate,in,ves,ti,gate,,,,
,investor,3,"'investor': 3,",in;ves;tor,in,ves,tor,,,,,
,invest,2,"'invest': 2,",in;vest,in,vest,,,,,,
,investment,3,"'investment': 3,",in;vest;ment,in,vest,ment,,,,,
,invitation,4,"'invitation': 4,",in;vi;ta;tion,in,vi,ta,tion,,,,
